Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Williams,Henderson,null,M,32,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,A. Briggs,null,-76.28514,36.84686
Fisher,Jonathan,null,M,19,null,null,Jan,1856,null,null,MD,null,null,null,null,A. Rybold,null,0,0
Wines,Moses,null,M,null,B,6,May,1854,Portsmouth,Norfolk,VA,null,null,null,Steamer,Abigail Wheeler,null,-76.29771,36.83273
Smith,Julia,null,M,30,B,29,Jan,1854,Richmond,Henrico,VA,null,null,null,Steamer,A. Judson Crane,null,-77.43367,37.54068
Foster,Turner,null,M,21,null,null,null,1859,Richmond,Henrico,VA,null,null,null,null,"A.A. Mosen, Esq.",null,-77.43367,37.54068
Collins,Mary Ellen,null,F,20,B,null,null,1857,Cambridge,Dorchester,MD,null,null,null,null,Abrahm Wilson,null,-76.07806,38.56312
Carr,John Thompson,null,M,null,null,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Albert Lewis,null,-77.43367,37.54068
Nicholson,Adam,John Wynkoop,M,null,B,12,Apr,1854,Hedgesville,Berkeley,VA,null,null,null,Foot,Alexander Hill,null,-77.99512,39.55387
White,Miles,null,M,21,null,12,Jun,1854,Elizabeth City,Pasquotan,NC,null,null,null,Boat,Albert Kern,1500,-76.21976,36.3015
Bowler,null,null,null,null,null,null,null,1858,Richmond,Henrico,VA,X,null,null,null,Alexander Royster,null,-77.43367,37.54068
Snowden,Lewis,Lewis Williams,M,28,null,20,Jun,1854,Washington,null,DC,null,null,null,null,A. Nayton,null,-77.03196,38.89037
Bowler,null,null,null,null,null,null,null,1858,Richmond,Henrico,VA,X,null,null,null,Alexander Royster,null,-77.43367,37.54068
Bowler,Nancy,null,F,null,null,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Alexander Royster,null,-77.43367,37.54068
Ennets,null,null,null,3 mos,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null,0,0
Ennets,Amanda,null,F,4,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null,0,0
Ennets,Harriet,null,F,6,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null,0,0
Ennets,Maria,null,F,null,null,null,null,1860,null,Dorchester,MD,null,null,null,null,Alginer Pearcy,null,0,0
Bowler,William,null,M,41,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Alexander Royster,null,-77.43367,37.54068
McCoy,Eliza,Ellen Saunders,F,38,M,1,Nov,1854,Norfolk,Norfolk,VA,null,X,null,Steamer,Andrew Ligany,null,-76.28514,36.84686
Wheeler,Henry,null,M,21,null,null,null,1859,Havre de Grace,Harford,MD,null,null,null,null,Amos Barnes,null,-76.09566,39.54867
Jones,John,Henry Clark,M,25,null,2,Sept,1854,Middletown,New Castle,DE,null,null,null,null,Amos Lynch,null,-75.71684,39.45028
Lambert,Elizabeth,null,F,null,null,null,null,1856,Middletown,New Castle,DE,null,null,null,null,Andrew Peterson,null,-75.71684,39.45028
Lambert,Horace,null,M,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null,-75.71684,39.45028
Lambert,Mary,null,F,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null,-75.71684,39.45028
Turner,Isaac,null,M,28,B,null,Dec,1857,Petersburg,Dinwiddle,VA,null,null,null,Foot,Ann Coley,null,-77.40348,37.22815
Turner,Jackson,null,M,27,B,null,May,1857,Petersburg,Dinwiddle,VA,null,null,null,Foot,Ann Coley,null,-77.40348,37.22815
Turner,Edmundson,null,M,25,B,null,Dec,1857,Petersburg,Dinwiddle,VA,null,X,null,Foot,Ann Coley,null,-77.40348,37.22815
Lambert,William Henry,null,M,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null,-75.71684,39.45028
Gooseberry,George W.,Isaac Stout,M,23,null,19,Jan,1856,null,New Castle,DE,null,null,null,null,Anthony Ryebold,null,0,0
Anderson,Thomas,Jonathan Fisher,M,19,null,30,Jan,1856,Sassafras Neck,Cecil,MD,null,null,null,null,Anthony Rybold,null,-75.80258,39.3732
Morris,James,null,M,27,null,null,Jul,1856,South End,Camden,NC,null,X,null,Schooner,Ann McCourt,null,-93.26211,31.12963
Henry,John,Samuel Full (?),M,21,null,30,Jan,1856,Sassafras Neck,Cecil,MD,null,null,null,null,Anthony Ryebold,null,-75.80258,39.3732
Carlisle,William,null,M,null,B,4,Jul,1859,null,null,MD,null,null,null,null,Aquila Cain,null,0,0
Heath,Charles,null,M,25,B,4,July,1859,null,null,MD,null,null,null,null,Aquila Cain,null,0,0
Maxwell,Thomas,null,M,21,B,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Aquila Cain,null,-80.1356,25.9337
Smith,Samuel,null,M,null,null,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Aquila Cain,null,-80.1356,25.9337
Jasper,Elias,null,M,32,B,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Bayham,null,-76.28514,36.84686
Smith,Josephine,null,F,null,null,null,null,null,Washington,null,DC,null,null,null,null,Anna Maria Warren,null,-77.03196,38.89037
Hall,Charles,null,M,null,null,8,Apr,1856,Baltimore,Baltimore,MD,null,null,null,null,Atwood Blunt,null,-76.60926,39.29058
Burrell,Peter,null,M,null,null,21,Apr,1856,Alexandria,Fairfax,VA,null,null,null,null,Bejamin Johnson Hall,null,-77.04341,38.8046
Gilbert,Charles,null,M,null,M,11,Nov,1854,Richmond,Henrico,VA,null,null,null,Steamer,Benjamin Davis,null,-77.43367,37.54068
Gardener,Priscilla,null,F,30,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Benjamin Hilliard,null,-77.43367,37.54068
Washington,Samuel,James Moore,M,35,null,27,Feb,1855,Norfolk,Norfolk,VA,null,null,null,null,Benjamin Smith,null,-76.28514,36.84686
Reed,Isaac,James Reed,M,null,null,28,Jul,1856,Eastern Shore,null,MD,null,null,null,null,Benjamin Franklin Houston,null,-80.1356,25.9337
Brown,John,null,M,null,null,null,null,1859,null,null,null,null,null,null,null,Benjamin Thorn,null,0,0
Davis,Singleton,William Snowden,M,38,null,4,May,1853,Columbia,null,null,null,null,null,null,Augustus Riggs,null,-81.04537,33.99882
Washington,George,null,M,15,B,null,null,1857,Perryville,Caroline,MD,null,null,null,Foot,Benjamin Sylves,null,-76.07142,39.56008
Clinton,Thomas,null,M,21,B,null,null,1856,Baltimore,Baltimore,MD,null,X,null,null,Benjamin Walmsly,null,-76.60926,39.29058
Nole,Charles,null,M,null,M,null,Oct,1858,null,Culpepper,VA,null,null,null,null,Blooker W. Hansborough,null,0,0
Hilliard,Frances,null,M,29,M,30,Aug,1855,Richmond,Henrico,VA,null,X,null,Steamer,Beverly Blair,null,-77.43367,37.54068
Ennells,Noah,null,M,19,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,Black Head Bill LeCount,null,-76.07806,38.56312
Hall,Edward,null,M,20,null,null,null,1859,null,null,DE,null,null,null,null,Booth,null,0,0
Dade,Jack,null,M,22,B,null,null,1857,Washington,Washington,VA,null,null,null,null,Benjamin R. Chambers,null,-78.16032,38.71181
Chion,Emma,null,F,null,null,null,null,1860,null,Dorchester,MD,null,null,null,null,Bushong Blake,null,0,0
Thorton,Alfred S.,null,M,22,B,null,null,1858,null,null,VA,null,null,null,null,C.F. Shinn,null,0,0
Ellis,Joe,null,M,23,B,null,null,1857,Cabin Point,Surrey,VA,null,null,null,null,Bolling Ellis,null,-77.03182,37.18485
Cornish,Joseph,null,M,40,B,25,Dec,1855,null,Dorchester,MD,null,null,null,null,Capt. Samuel Lecount,null,0,0
Bishop,Elijah,null,M,28,B,null,null,1858,Baltimore,Baltimore,MD,null,null,null,null,Campbell,null,-76.60926,39.29058
Giles,Charlotte,null,F,23,null,31,May,1856,Baltimore,Baltimore,MD,null,null,null,Railroad,Capt. William Applegarth,null,-76.60926,39.29058
Freeland,George W.,null,M,25,B,5,Jun,1854,Petersburg,Dinwiddle,VA,null,X,null,Steamer,Capt. John Pollard,null,-77.40348,37.22815
Delaney,James Henry,null,M,26,null,25,May,1854,Seaford,Sussex,DE,null,null,null,null,Captain Martin,null,-75.60905,38.64374
