Last Name,First/Middle Name,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Child,Literate,Armed,Trasportation,Enslaver,Reward
Williams,Henderson,null,M,32,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,A. Briggs,null
Smith,Julia,null,M,30,B,29,Jan,1854,Richmond,Henrico,VA,null,null,null,Steamer,A. Judson Crane,null
Snowden,Lewis,Lewis Williams,M,28,null,20,Jun,1854,Washington,null,DC,null,null,null,null,A. Nayton,null
Fisher,Jonathan,null,M,19,null,null,Jan,1856,null,null,MD,null,null,null,null,A. Rybold,null
Foster,Turner,null,M,21,null,null,null,1859,Richmond,Henrico,VA,null,null,null,null,"A.A. Mosen, Esq.",null
Wines,Moses,null,M,null,B,6,May,1854,Portsmouth,Norfolk,VA,null,null,null,Steamer,Abigail Wheeler,null
Collins,Mary Ellen,null,F,20,B,null,null,1857,Cambridge,Dorchester,MD,null,null,null,null,Abrahm Wilson,null
White,Miles,null,M,21,null,12,Jun,1854,Elizabeth City,Pasquotan,NC,null,null,null,Boat,Albert Kern,1500
Carr,John Thompson,null,M,null,null,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Albert Lewis,null
Nicholson,Adam,John Wynkoop,M,null,B,12,Apr,1854,Hedgesville,Berkeley,VA,null,null,null,Foot,Alexander Hill,null
Bowler,null,null,null,null,null,null,null,1858,Richmond,Henrico,VA,X,null,null,null,Alexander Royster,null
Bowler,null,null,null,null,null,null,null,1858,Richmond,Henrico,VA,X,null,null,null,Alexander Royster,null
Bowler,Nancy,null,F,null,null,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Alexander Royster,null
Bowler,William ,null,M,41,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Alexander Royster,null
Ennets,null,null,null,3 mos,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null
Ennets,Amanda,null,F,4,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null
Ennets,Harriet,null,F,6,null,null,null,1860,null,Dorchester,MD,X,null,null,null,Alginer Pearcy,null
Ennets,Maria,null,F,null,null,null,null,1860,null,Dorchester,MD,null,null,null,null,Alginer Pearcy,null
Wheeler,Henry,null,M,21,null,null,null,1859,Havre de Grace,Harford,MD,null,null,null,null,Amos Barnes,null
Jones,John,Henry Clark,M,25,null,2,Sept,1854,Middletown,New Castle,DE,null,null,null,null,Amos Lynch,null
McCoy,Eliza,Ellen Saunders,F,38,M,1,Nov,1854,Norfolk,Norfolk,VA,null,X,null,Steamer,Andrew Ligany,null
Lambert,Elizabeth,null,F,null,null,null,null,1856,Middletown,New Castle,DE,null,null,null,null,Andrew Peterson,null
Lambert,Horace,null,M,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null
Lambert,Mary,null,F,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null
Lambert,William Henry,null,M,null,null,null,null,1856,Middletown,New Castle,DE,X,null,null,null,Andrew Peterson,null
Turner,Edmundson,null,M,25,B,null,Dec,1857,Petersburg,Dinwiddle,VA,null,X,null,Foot,Ann Coley,null
Turner,Isaac,null,M,28,B,null,Dec,1857,Petersburg,Dinwiddle,VA,null,null,null,Foot,Ann Coley,null
Turner,Jackson,null,M,27,B,null,May,1857,Petersburg,Dinwiddle,VA,null,null,null,Foot,Ann Coley,null
Morris,James,null,M,27,null,null,Jul,1856,South End,Camden,NC,null,X,null,Schooner,Ann McCourt,null
Smith,Josephine,null,F,null,null,null,null,null,Washington,null,DC,null,null,null,null,Anna Maria Warren,null
Anderson,Thomas,Jonathan Fisher,M,19,null,30,Jan,1856,Sassafras Neck,Cecil,MD,null,null,null,null,Anthony Rybold,null
Gooseberry,George W. ,Isaac Stout,M,23,null,19,Jan,1856,null,New Castle,DE,null,null,null,null,Anthony Ryebold,null
Henry,John,Samuel Full (?),M,21,null,30,Jan,1856,Sassafras Neck,Cecil,MD,null,null,null,null,Anthony Ryebold,null
Carlisle,William,null,M,null,B,4,Jul,1859,null,null,MD,null,null,null,null,Aquila Cain,null
Maxwell,Thomas,null,M,21,B,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Aquila Cain,null
Smith,Samuel,null,M,null,null,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Aquila Cain,null
Heath,Charles,null,M,25,B,4,July,1859,null,null,MD,null,null,null,null,Aquila Cain,null
