Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,Date,FullDate,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,CityState,Long,Lat
Duncans,Benjamin,Geroge Scott,Male,25,Black,27,Apr,1854,Apr 1854,"April 27, 1854",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Thomas Jeffries,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Williams,William,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,30,Apr,1856,Apr 1856,"April 30, 1856",Haven Manor,<i>County Unknown</i>,MD,No,No,No,<i>Unknown</i>,John Peak,<i>None/Unknown</i>,"Haven Manor, MD",0,0
Williams,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,30,Apr,1856,Apr 1856,"April 30, 1856",Haven Manor,<i>County Unknown</i>,MD,No,No,No,<i>Unknown</i>,John Peak,<i>None/Unknown</i>,"Haven Manor, MD",0,0
Waples,Hansel,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,30,Dec,1853,Dec 1853,"December 30, 1853","Hillsboro, Indian R.",<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,William E. Burton,<i>None/Unknown</i>,"Hillsboro, Indian R., <i>State Unknown</i>",0,0
Bowen,John,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,17,Dec,1853,Dec 1853,"December 17, 1853",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Anderson,George,Henry Jones,Male,19,<i>Unknown</i>,16,Dec,1854,Dec 1854,"December 16, 1854",Herberts Crossroads,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Harom Stump,$100 In-State,"Herberts Crossroads, <i>State Unknown</i>",0,0
Green,Samuel,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,11,Dec,1855,Dec 1855,"December 11, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Jones,William,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,14,Feb,1854,Feb 1854,"February 14, 1854",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Mitchell,Lemuel,<i>None/Unknown</i>,Male,35,Black,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,James R. Lewis,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Cannon,Plymouth,<i>None/Unknown</i>,Male,42,Mulatto,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Nat Horsey,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Mitchell,Josiah,<i>None/Unknown</i>,Male,23,<i>Unknown</i>,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Thomas J. Hodgson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Wilkinson,Horatio,<i>None/Unknown</i>,Male,44,Mulatto,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Thomas J. Hodgson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Ballard,George Henry,<i>None/Unknown</i>,Male,26,<i>Unknown</i>,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,Yes,No,<i>Unknown</i>,William Jackson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Mitchell,John,<i>None/Unknown</i>,Male,24,Black,2,Feb,1858,Feb 1858,"February 2, 1858",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Miss Catharine Cornwell,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Jeffries,Mary,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,29,Jan,1856,Jan 1856,"January 29, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Redden,Mary,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,29,Jan,1856,Jan 1856,"January 29, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Redden,Sarah,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,29,Jan,1856,Jan 1856,"January 29, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Bell,Dianna,<i>None/Unknown</i>,Female,30,<i>Unknown</i>,30,Jun,1856,Jun 1856,"June 30, 1856",Liberty District,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Walker Simpson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
North,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,22,Mar,1856,Mar 1856,"March 22, 1856",null,<i>County Unknown</i>,null,Yes,No,No,<i>Unknown</i>,Edward C. Dyer,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Benjamin,Dickinson,<i>None/Unknown</i>,Male,28,Black,23,Mar,1856,Mar 1856,"March 23, 1856",null,<i>County Unknown</i>,null,No,No,No,Schooner,Miss Ann Blunte,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Cole,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,23,Mar,1856,Mar 1856,"March 23, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
David,Cole,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,23,Mar,1856,Mar 1856,"March 23, 1856",null,<i>County Unknown</i>,null,No,No,No,Schooner,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Page,Thomas,<i>None/Unknown</i>,Male,18,<i>Unknown</i>,23,Mar,1856,Mar 1856,"March 23, 1856",null,<i>County Unknown</i>,null,No,Yes,No,Schooner,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
